NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,R,DIST,STAR,MSTAR,RSTAR,TEFF,HD,HR,HIPP,GL
,mjupiter,au,day,,deg,jd,m/s,,,,,rjupiter,pc,,msun,rsun,k,,,,
HD 149026 b,0.359837,0.0431325,2.8758911,0,90,2453317.838,43.3,Carter 2009,http://adsabs.harvard.edu/abs/2009ApJ...696..241C,Sato 2005,http://adsabs.harvard.edu/abs/2005ApJ...633..465S,0.654,79.4281,HD 149026,1.294,1.368,6160,149026,,80838,
OGLE-2006-BLG-109L c,0.239279,4.8168,5405.7,0.27,,,4.2,Bennett 2010,http://adsabs.harvard.edu/abs/2010ApJ...713..837B,Gaudi 2008,http://adsabs.harvard.edu/abs/2008Sci...319..927G,,1510,OGLE-2006-BLG-109L,0.51,,,,,,
Qatar-2 b,2.483,0.0215077,1.3371182,0,90,2455624.26679,558.7,Bryan 2012,http://adsabs.harvard.edu/abs/2012ApJ...750...84B,Bryan 2012,http://adsabs.harvard.edu/abs/2012ApJ...750...84B,1.144,,Qatar-2,0.74,0.713,4645,,,,
HD 216437 b,2.16817,2.48556,1353,0.319,67.7,2450605,39,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Jones 2002,http://adsabs.harvard.edu/abs/2002MNRAS.337.1170J,,26.7451,HD 216437,1.117,1.36865,5848.71,216437,8701,113137,
Kepler-87 b,1.0213,0.477022,114.73635,0.036,238.6,2456193.705981,,Ofir 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.2064O,Ofir 2013,http://adsabs.harvard.edu/abs/2013arXiv1310.2064O,1.21,,Kepler-87,1.1,1.82,5600,,,,
HAT-P-7 b,1.77867,0.037964,2.204737,0,90,2454954.357463,211.8,Morris 2013,http://adsabs.harvard.edu/abs/2013ApJ...764L..22M,Pal 2008,http://adsabs.harvard.edu/abs/2008ApJ...680.1450P,1.363,320,HAT-P-7,1.5,1.981,6389,,,,
HD 49674 b,0.101571,0.0571073,4.94737,0.087,264,2451882.38,12.04,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,44.2282,HD 49674,1.015,0.889525,5662.28,49674,,32916,
HD 82943 b,1.73352,1.183,441.2,0.219,284,2450931.409609375,43.6,Lee 2006,http://adsabs.harvard.edu/abs/2006ApJ...641.1178L,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,27.4725,HD 82943,1.133,1.09738,5997.1,82943,,47007,
WASP-38 b,2.70891,0.0758454,6.87188,0.028,337.8,2455320.093,252,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Barros 2011,http://adsabs.harvard.edu/abs/2011A&A...525A..54B,1.09,110,WASP-38,1.23,1.35,6180,146389,,,
HD 77338 b,0.0498139,0.0612143,5.7361,0.09,223.454,2453355.6,5.96,Jenkins 2013,http://adsabs.harvard.edu/abs/2013ApJ...766...67J,Jenkins 2013,http://adsabs.harvard.edu/abs/2013ApJ...766...67J,,40.7498,HD 77338,0.93,0.88,5370,77338,,44291,
Kepler-29 c,0,0.109809,13.2907,0,90,2454978.471,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.25849,,Kepler-29,1,0.96,5750,,,,
HD 220773 b,1.44975,4.94302,3724.7,0.51,259,2453866.4,20,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,,50.8906,HD 220773,1.16,1.35144,5940,220773,,115697,
WASP-6 b,0.521174,0.0428704,3.361006,0.054,97.4028,2454596.4903,74.3,Gillon 2009,http://adsabs.harvard.edu/abs/2009A%26A...501..785G,Gillon 2009,http://adsabs.harvard.edu/abs/2009A%26A...501..785G,1.224,,WASP-6,0.93,0.87,5450,,,,
HD 159868 c,0.73,1.02595,352.3,0.15,290,2453239,20.1,Wittenmyer 2012,http://adsabs.harvard.edu/abs/2012ApJ...753..169W,Wittenmyer 2012,http://adsabs.harvard.edu/abs/2012ApJ...753..169W,,58.6854,HD 159868,1.16,1.84825,5558,159868,,86375,
HD 137388 b,0.227816,0.88883,330,0.36,86,2455209,7.94,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,,38.4468,HD 137388,0.86,0.97784,5240,137388,,76351,
HD 95086 b,,,,,,,,,,Rameau 2013,http://adsabs.harvard.edu/abs/2013arXiv1305.7428R,,90.4159,HD 95086,,,,95086,,53524,
Kepler-52 c,,0.10281,16.3850021,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.16400700000000001,,Kepler-52,0.54,0.52,4075,,,,
HD 100777 b,1.16502,1.03378,383.70001,0.36,202.7,2453456.2,34.9,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,,49.6032,HD 100777,1,1.07881,5582,100777,,56572,
HAT-P-5 b,1.05391,0.0407152,2.788491,0,90,2454241.77663,138,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...671L.173B,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...671L.173B,1.254,341.297,HAT-P-5,1.157,1.165,5960,,,,
HD 222582 b,7.63003,1.33658,572.38,0.725,319.01,2450706.7,276.3,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Vogt 2000,http://adsabs.harvard.edu/abs/2000ApJ...536..902V,,41.7711,HD 222582,0.965,1.13737,5726.63,222582,,116906,
Kepler-16 b,0.333,0.646795,228.776,0.0069,318,2455346.5,,Doyle 2011,http://adsabs.harvard.edu/abs/2011Sci...333.1602D,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.7538,61.3181,Kepler-16,0.6897,0.6489,4450,,,,
Kepler-32 d,,0.128069,22.7802,0,90,2454988.2,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.240663,303,Kepler-32,0.54,0.53,3793,,,,
Kepler-58 c,,0.119982,15.5741568,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,0.254925,,Kepler-58,0.95,1.03,5843,,,,
WASP-33 b,0,0.0255483,1.21986983,0,90,2454590.17948,0,Collier-Cameron 2010,http://adsabs.harvard.edu/abs/2010MNRAS.407..507C,Christian 2006,http://adsabs.harvard.edu/abs/2006MNRAS.372.1117C,1.497,115.607,WASP-33,1.495,1.444,7430,15082,,11397,
HD 128311 b,1.4572,1.08649,454.2,0.345,63,2453835,46.5,Wittenmyer 2009,http://adsabs.harvard.edu/abs/2009ApJS..182...97W,Butler 2003,http://adsabs.harvard.edu/abs/2003ApJ...582..455B,,16.5016,HD 128311,0.828,0.58322,4965.42,128311,,71395,3860
MOA-2011-BLG-293L b,,,,,,,,Yee 2012,http://adsabs.harvard.edu/abs/2012ApJ...755..102Y,Yee 2012,http://adsabs.harvard.edu/abs/2012ApJ...755..102Y,,7150,MOA-2011-BLG-293L,0.44,,,,,,
HD 181433 d,0.535482,3.02208,2172,0.48,330,2452154,11.3,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,Bouchy 2009,http://adsabs.harvard.edu/abs/2009A%26A...496..527B,,26.7594,HD 181433,0.78,1.00831,4962,181433,,95467,756.1
TrES-1 b,0.752484,0.0392516,3.030065,0,90,2453901.90372,115.2,Alonso 2004,http://adsabs.harvard.edu/abs/2004ApJ...613L.153A,Alonso 2004,http://adsabs.harvard.edu/abs/2004ApJ...613L.153A,1.067,152.207,TrES-1,0.878,0.807,5230,,,,
HD 4208 b,0.807457,1.65355,828,0.052,345,2451040,19.06,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Vogt 2002,http://adsabs.harvard.edu/abs/2002ApJ...568..352V,,32.3729,HD 4208,0.879,0.876501,5600.17,4208,,3479,9024
Kepler-62 e,,0.426299,122.3874,0.13,292.62,2454932.038,,Borucki 2013,http://adsabs.harvard.edu/abs/2013Sci...340..587B,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.143507,368,Kepler-62,0.69,0.64,4925,,,,
HD 5388 b,1.96509,1.76349,777,0.4,324,2454570,41.7,Santos 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..47S,Santos 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..47S,,53.7057,HD 5388,1.21,1.29538,6297,5388,,4311,
CoRoT-10 b,2.75448,0.105463,13.2406,0.53,218.9,2454990.85,301,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,Bonomo 2010,http://adsabs.harvard.edu/abs/2010A&A...520A..65B,0.97,344.947,CoRoT-10,0.89,0.79,5075,,,,
11 UMi b,11.0873,1.53498,516.22,0.08,117.63,2452861.04,189.7,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D,Dollinger 2009,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D,,122.1,11 UMi,1.8,44.65,4340,136726,5714,74793,
WASP-62 b,0.562022,0.0567187,4.411953,0,90,2455855.39195,60,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,1.39,160,WASP-62,1.25,1.28,6230,,,,
HD 4732 c,2.36493,4.60219,2732,0.23,118,2456093,24.4,Sato 2013,http://adsabs.harvard.edu/abs/2013ApJ...762....9S,Sato 2013,http://adsabs.harvard.edu/abs/2013ApJ...762....9S,,57.9039,HD 4732,1.74,5.55146,4959,4732,228,3834,
kappa CrB b,1.9747,2.71619,1300,0.125,83.1,2453899,27.3,Bonsor 2013,http://adsabs.harvard.edu/abs/2013MNRAS.431.3025B,Johnson 2008,http://adsabs.harvard.edu/abs/2008ApJ...675..784J,,30.4971,kappa CrB,1.58,5.06,4876,142091,5901,77655,
Kepler-25 b,0,0.0708678,6.23855,0,90,2454973.5126,,Steffen 2012,http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.23175,,Kepler-25,1.22,1.36,6190,,,,
HD 99492 b,0.106179,0.121908,17.0431,0.254,219,2450468.7,9.8,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,,17.9565,HD 99492,0.832,0.630794,4954.92,99492,,55848,429
HD 204941 b,0.26689,2.55427,1733,0.37,228,2456015,5.94,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,Dumusque 2011,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,,26.9542,HD 204941,0.74,0.850124,5056,204941,,106353,
HD 196050 b,2.8434,2.51056,1378,0.228,187,2450843,49.7,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Jones 2002,http://adsabs.harvard.edu/abs/2002MNRAS.337.1170J,,49.975,HD 196050,1.109,1.31321,5892.35,196050,,101806,
WASP-11 b,0.539752,0.0436466,3.722465,0,90,2454473.05588,82.1,West 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..395W,West 2009 ; Bakos 2009,http://adsabs.harvard.edu/abs/2009A%26A...502..395W ; http://adsabs.harvard.edu/abs/2009ApJ...696.1950B,0.91,121.7,WASP-11,0.8,0.74,4800,,,,
HD 111232 b,6.84182,1.97489,1143,0.2,98,2451230,159.3,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,Mayor 2004,http://adsabs.harvard.edu/abs/2004A%26A...415..391M,,29.3427,HD 111232,0.78,0.874998,5494,111232,,62534,
HD 117618 b,0.176652,0.174852,25.827,0.42,254,2450832.2,12.8,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T,,37.9651,HD 117618,1.069,1.16537,5963.63,117618,,66047,
HD 180902 b,1.56395,1.38103,479,0.09,300,2454858.2914,30.7,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,Johnson 2010,http://adsabs.harvard.edu/abs/2010PASP..122..701J,,109.529,HD 180902,1.53,3.85021,5040,180902,,94951,
HIP 12961 b,0.354314,0.25497,57.435,0.166,272,2454428.4,24.71,Forveille 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F,Forveille 2011,http://adsabs.harvard.edu/abs/2011A%26A...526A.141F,,23.015,HIP 12961,0.67,,,,,12961,
HD 63454 b,0.384566,0.0362523,2.818049,0,87.3,2455583.24,64.19,Kane 2011,http://adsabs.harvard.edu/abs/2011ApJ...737...58K,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,,34.5423,HD 63454,0.8,1.15809,4841,63454,,37284,
BD +48 738 b,1.2654,1.11234,392.6,0.2,358.9,2454457.2,31.9,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,Gettel 2012,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,,,BD +48 738,1.19,11.7902,4658,,,,
Kepler-62 c,,0.0928559,12.4417,0.186815,254.476,2454960.666,,Borucki 2013,http://adsabs.harvard.edu/abs/2013Sci...340..587B,Borucki 2013,http://adsabs.harvard.edu/abs/2013Sci...340..587B,0.0481326,368,Kepler-62,0.69,0.64,4925,,,,
NGC 2423 3 b,6.63106,1.6555,714.3,0.21,18,2453213,137.6,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,,766.002,NGC 2423 3,1.18,21.2079,4545,,,,
Kepler-33 c,,0.118876,13.17562,0,90,2454976.6764,,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.28523,,Kepler-33,1.291,1.82,5904,,,,
HD 50499 b,1.74473,3.87172,2457.8717,0.253675,258.799,2451220.052,23.0219,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,,46.1255,HD 50499,1.28,1.18426,6069.67,50499,,32970,
